Date,Open,High,Low,Close,Adj Close,Volume
1999-06-16,9.062500,9.312500,8.125000,8.875000,8.648539,5718100
1999-06-17,8.750000,8.875000,7.750000,8.687500,8.465821,542200
1999-06-18,8.562500,9.125000,8.562500,9.000000,8.770349,557600
1999-06-21,9.062500,9.750000,9.000000,9.250000,9.013969,218000
1999-06-22,9.062500,9.500000,9.000000,9.062500,8.831251,281400
1999-06-23,9.000000,9.500000,9.000000,9.375000,9.135778,395200
1999-06-24,9.375000,9.625000,9.000000,9.125000,8.892160,238100
1999-06-25,9.125000,9.218750,9.000000,9.187500,8.953064,172400
1999-06-28,9.000000,9.375000,9.000000,9.250000,9.013969,81400
1999-06-29,9.375000,10.250000,9.250000,9.375000,9.135778,321500
1999-06-30,9.375000,10.125000,9.375000,9.687500,9.440308,429900
1999-07-01,9.812500,10.375000,9.500000,9.937500,9.683926,363500
1999-07-02,10.125000,10.875000,10.125000,10.875000,10.597503,460800
1999-07-06,10.875000,11.000000,10.500000,10.687500,10.414788,565900
1999-07-07,10.687500,11.125000,10.375000,10.875000,10.597503,270500
1999-07-08,11.750000,13.000000,11.375000,12.250000,11.937419,1793800
1999-07-09,12.250000,13.750000,12.187500,13.500000,13.155523,1738400
1999-07-12,14.000000,15.375000,13.625000,14.812500,14.434532,5465000
1999-07-13,15.312500,15.312500,12.625000,13.375000,13.033714,2568600
1999-07-14,13.750000,13.750000,11.875000,13.375000,13.033714,970700
1999-07-15,13.812500,14.000000,12.750000,13.125000,12.790091,572700
1999-07-16,13.375000,14.250000,13.187500,14.000000,13.642765,793100
1999-07-19,14.250000,14.375000,13.500000,14.000000,13.642765,336500
1999-07-20,14.000000,14.062500,12.500000,12.937500,12.607375,324300
1999-07-21,13.000000,13.312500,12.500000,12.500000,12.181039,237600
1999-07-22,12.750000,12.750000,11.875000,12.000000,11.693796,165100
1999-07-23,12.125000,12.250000,11.000000,11.500000,11.206556,178500
1999-07-26,11.500000,11.500000,9.750000,10.375000,10.110262,363400
1999-07-27,10.406250,10.875000,9.875000,10.375000,10.110262,312600
1999-07-28,10.562500,11.875000,10.250000,11.250000,10.962936,176700
1999-07-29,11.000000,11.750000,10.562500,11.375000,11.084746,165400
1999-07-30,11.375000,12.062500,10.500000,11.125000,10.841125,237500
1999-08-02,11.500000,13.250000,10.875000,11.250000,10.962936,503900
1999-08-03,11.750000,12.500000,11.625000,12.125000,11.815607,265300
1999-08-04,12.000000,12.062500,11.250000,11.500000,11.206556,186900
1999-08-05,11.375000,11.625000,10.250000,11.625000,11.328365,188600
1999-08-06,11.500000,11.500000,10.500000,11.000000,10.719316,77400
1999-08-09,11.062500,11.437500,9.875000,10.000000,9.744830,105900
1999-08-10,9.875000,10.250000,9.062500,9.156250,8.922610,369700
1999-08-11,9.500000,10.000000,9.125000,9.875000,9.623019,351000
1999-08-12,10.437500,11.500000,10.000000,10.937500,10.658408,413900
1999-08-13,11.375000,11.625000,10.625000,11.000000,10.719316,275600
1999-08-16,11.250000,11.250000,10.750000,10.875000,10.597503,98900
1999-08-17,11.000000,11.500000,10.875000,11.500000,11.206556,149100
1999-08-18,11.500000,11.625000,10.937500,10.937500,10.658408,100300
1999-08-19,10.968750,11.312500,10.750000,11.125000,10.841125,39200
1999-08-20,11.250000,11.375000,11.000000,11.250000,10.962936,42400
1999-08-23,11.437500,11.500000,10.875000,10.937500,10.658408,65000
1999-08-24,11.250000,11.250000,10.625000,11.125000,10.841125,108000
1999-08-25,10.875000,11.250000,10.875000,11.000000,10.719316,112800
1999-08-26,11.093750,11.093750,10.750000,10.937500,10.658408,135500
1999-08-27,10.937500,11.062500,10.625000,10.937500,10.658408,434800
1999-08-30,11.000000,11.250000,10.875000,11.000000,10.719316,88500
1999-08-31,11.000000,11.437500,10.812500,11.437500,11.145652,153000
1999-09-01,11.437500,11.937500,11.125000,11.250000,10.962936,87000
1999-09-02,11.250000,11.375000,10.812500,11.062500,10.780219,80800
1999-09-03,11.218750,11.750000,11.000000,11.750000,11.450177,91900
1999-09-07,12.000000,12.062500,11.250000,11.312500,11.023840,58300
1999-09-08,11.375000,11.437500,11.250000,11.375000,11.084746,96100
1999-09-09,11.406250,12.625000,11.312500,12.500000,12.181039,179900
1999-09-10,12.500000,13.500000,12.312500,12.562500,12.241945,249300
1999-09-13,12.812500,12.937500,11.812500,12.437500,12.120133,363900
1999-09-14,12.500000,13.000000,12.250000,13.000000,12.668282,238300
1999-09-15,12.937500,13.500000,12.875000,13.375000,13.033714,271500
1999-09-16,13.718750,13.750000,13.125000,13.187500,12.850996,159600
1999-09-17,13.312500,13.750000,13.125000,13.750000,13.399144,199700
1999-09-20,13.687500,13.687500,12.500000,12.937500,12.607375,90500
1999-09-21,12.843750,13.187500,12.375000,12.625000,12.302851,129200
1999-09-22,12.718750,13.562500,12.687500,13.437500,13.094617,92200
1999-09-23,13.062500,13.500000,12.625000,12.812500,12.485565,146000
1999-09-24,12.875000,13.000000,12.250000,12.375000,12.059226,148000
1999-09-27,12.718750,13.250000,12.000000,12.687500,12.363757,127500
1999-09-28,12.093750,12.687500,11.750000,12.250000,11.937419,85200
1999-09-29,12.000000,12.125000,11.250000,11.250000,10.962936,160200
1999-09-30,11.500000,11.625000,10.000000,10.875000,10.597503,134900
1999-10-01,10.500000,11.062500,10.500000,10.937500,10.658408,113100
1999-10-04,10.968750,11.125000,10.875000,11.000000,10.719316,146400
1999-10-05,11.031250,11.500000,10.250000,10.312500,10.049357,64900
1999-10-06,11.000000,11.375000,10.625000,10.937500,10.658408,90800
1999-10-07,11.000000,11.062500,10.562500,10.625000,10.353883,69800
1999-10-08,10.687500,11.125000,10.625000,11.000000,10.719316,54200
1999-10-11,10.937500,11.000000,10.625000,10.750000,10.475694,25400
1999-10-12,10.750000,10.937500,10.062500,10.250000,9.988452,54600
1999-10-13,10.593750,10.593750,10.000000,10.000000,9.744830,37900
1999-10-14,10.187500,10.437500,10.000000,10.375000,10.110262,204700
1999-10-15,10.187500,10.500000,9.437500,10.000000,9.744830,140700
1999-10-18,9.781250,11.000000,9.562500,11.000000,10.719316,98700
1999-10-19,10.718750,11.062500,10.250000,10.437500,10.171169,121200
1999-10-20,10.562500,10.875000,9.687500,9.687500,9.440308,47400
1999-10-21,9.656250,10.750000,9.500000,10.125000,9.866640,52100
1999-10-22,10.437500,10.625000,9.750000,10.000000,9.744830,17800
1999-10-25,10.000000,10.187500,9.750000,9.750000,9.501210,26400
1999-10-26,10.000000,10.250000,9.875000,10.062500,9.805737,39700
1999-10-27,10.125000,10.125000,9.937500,10.000000,9.744830,27800
1999-10-28,10.000000,10.000000,9.500000,9.937500,9.683926,109400
1999-10-29,10.000000,10.500000,9.562500,9.750000,9.501210,47900
1999-11-01,9.890625,10.000000,9.500000,9.625000,9.379401,58100
1999-11-02,9.687500,10.250000,9.625000,9.625000,9.379401,68900
1999-11-03,9.750000,10.000000,9.500000,9.500000,9.257590,191200
1999-11-04,10.000000,10.125000,9.500000,9.875000,9.623019,123900
